Stiklo tipas:;Gravera kaina (eu):;Maristika kaina (eu)
4  skaidrus (negrûdintas);9,19;8,5
5  skaidrus (negrûdintas);12,39;N
6  skaidrus (negrûdintas);14,02;N
8  skaidrus (negrûdintas);20,34;N
10  skaidrus (negrûdintas);27,15;N
12  skaidrus (negrûdintas);38,73;N
4mm tonuotas (negrûdintas);16,09;16,7
5mm tonuotas (negrûdintas);20,44;21,2
6mm tonuotas (negrûdintas);24,48;N
8mm tonuotas (negrûdintas);33,56;N
10mm tonuotas (negrûdintas);42,29;N
4mm skaidrus (grûdintas);10;11,35
5mm skaidrus (grûdintas);12,53;14,8
6mm skaidrus (grûdintas);15,05;17,7
8mm skaidrus (grûdintas);23,77;27,5
10mm skaidrus (grûdintas);32,04;36,65
12mm skaidrus (grûdintas);49,25;50,9
4mm  tonuotas(grûdintas);17,36;17,8
5mm  tonuotas (grûdintas);22,24;22,9
6mm  tonuotas (grûdintas);26,81;27,5
8mm  tonuotas (grûdintas);37,66;38,75
10mm  tonuotas (grûdintas);47,69;48,8
4mm matinis (grûdintas);22,11;19,7
6mm matinis (grûdintas);29,7;27,6
8mm matinis (grûdintas);40,15;37,75
10mm matinis (grûdintas);50,19;51,5
Skaidrus stiklas(3.3.1st 1 negrûdintas);23,59;24
Skaidrus stiklas (4.4.2st 2 GR) grûdintas;N;42
Pilkai tonuotas, stiklas(4.4.2st 2pilk) grûdintas;N;61
Rudai tonuotas, stiklas(4.4.2st 2rud) grûdintas;N;61
Skaidrus stiklas, su mat plëvele(4.4.2st 2mat)  grûdintas;N;55
Skaidrus stiklas (5.5.2st 2) grûdintas;N;49
Skaidrus stiklas, su mat plëvele(5.5.2st 2 mat)  grûdintas;N;60
Pilkai tonuotas,  stiklas(5.5.2st 2 pilk) grûdintas;N;71
Rudai tonuotas,  stiklas(5.5.2st 2 rud) grûdintas;N;71
Skaidrus stiklas (6.6.2st 2)  grûdintas;N;55
Pilkai tonuotas,  stiklas(6.6.2st 2pilk) grûdintas;N;80
Rudai tonuotas,  stiklas(6.6.2st 2rud) grûdintas;N;80
Skaidrus stiklas,  su mat plëvele(6.6.2st 2mat) grûdintas;N;62
 Matinis, (Matinis 4mm gr) grûdintas;22,11;19,4
 Matinis, (Matinis 6mm ) grûdintas;29,7;27,1
 Matinis, (Matinis 8mm ) grûdintas;40,15;37,1
 Matinis, (Matinis 10mm ) grûdintas;50,19;50,7
4mm tonuotas  Dark GREY (grûdintas);25,64;
6mm tonuotas Dark GREY (grûdintas);N;36,5
8mm tonuotas Dark GREY (grûdintas);55,97;52,65
